,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
5553,125879,2020,1835,111117,1,1580.0,0,0,1,1,0,0,0,0,1,35
5554,37000,2019,1353,89000,1,999.0,0,0,1,1,0,0,1,0,0,25
5555,42000,2016,1424,54995,2,1364.0,0,0,1,1,0,1,0,0,0,37
5556,67000,2019,2563,144900,1,1898.0,0,1,0,0,1,0,1,0,0,4
5557,2,2023,2417,171500,1,1998.0,0,0,1,1,0,0,0,0,1,17
5558,103000,2017,1962,101753,4,1499.0,0,0,1,1,0,0,1,0,0,6
5559,45000,2020,2130,119900,1,1498.0,0,0,1,1,0,1,0,0,0,27
5561,113000,2019,1604,89000,1,999.0,0,0,1,1,0,0,1,0,0,27
5562,33215,2021,2417,186240,1,1999.0,0,0,1,1,0,1,0,0,0,13
5563,4,2022,4731,355000,1,2755.0,0,1,0,1,0,0,1,0,0,12
5564,150000,2016,1424,60000,2,1197.0,0,0,1,1,0,0,1,0,0,27
5565,120000,2017,1604,84900,1,1598.0,0,0,1,1,0,1,0,0,0,12
5566,150000,2013,2397,90000,5,1997.0,0,0,1,1,0,1,0,0,0,6
5567,60000,2019,1604,107990,1,1580.0,0,0,1,1,0,0,1,0,0,35
5568,58839,2019,1835,114853,1,1461.0,0,1,0,1,0,0,0,0,1,21
5569,126435,2019,2019,146980,1,1498.0,0,0,1,1,0,0,0,0,1,27
5570,138923,2019,1604,86680,1,999.0,0,0,1,1,0,0,0,0,1,27
5571,69445,2019,2019,152859,1,1498.0,0,0,1,1,0,0,0,0,1,27
5572,75199,2019,2019,143500,1,1498.0,0,0,1,1,0,0,0,0,1,27
5573,104960,2018,2563,140000,1,1395.0,0,0,1,1,0,0,0,0,1,27
5574,126476,2019,2019,142803,1,2359.0,0,0,1,1,0,0,0,0,1,35
5575,142892,2019,2563,154241,1,2359.0,0,0,1,1,0,0,0,0,1,35
5576,505,2023,1955,200000,1,1998.0,0,0,1,1,0,0,0,0,1,17
5577,127000,2017,1835,99900,2,1999.0,0,0,1,1,0,1,0,0,0,13
5578,101000,2019,1604,82900,1,1461.0,0,1,0,1,0,0,1,0,0,36
5579,130000,2011,1262,14500,2,1598.0,0,0,1,1,0,1,0,0,0,36
5580,88000,2018,1102,49000,1,1198.0,0,0,1,1,0,1,0,0,0,21
5581,68000,2018,1353,54000,2,1199.0,0,0,1,1,0,0,1,0,0,31
5582,505,2023,3366,259960,1,1969.0,0,0,1,1,0,0,1,0,0,11
5583,505,2023,3366,259960,1,1969.0,0,0,1,1,0,0,1,0,0,11
5584,505,2023,3366,259960,1,1969.0,0,0,1,1,0,0,1,0,0,11
5585,112000,2019,1604,90000,1,1499.0,0,1,0,0,1,1,0,0,0,26
5586,6600,2022,4731,300000,1,1995.0,0,0,1,1,0,1,0,0,0,7
5587,122000,2021,2130,145000,1,1995.0,0,0,1,1,0,1,0,0,0,23
